Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
2 62.06 30 88.76 6170.69
3 38.95 30 -0.06 6170.77
1 20.18 30 -20.69 6179.06
2 62.06 30 -152.5 6179.2
3 20.05 30 -39.19 6182.78
1 20.18 30 73.8 6186.93
2 62.06 30 14.35 6191.15
3 26.59 30 50.32 6191.22
1 20.18 30 17.01 6199.38
2 62.06 30 67.81 6199.45
3 38.09 30 17.91 6199.49
1 20.18 30 -80.23 6207.52
2 62.06 30 -13.46 6211.8
3 23.43 30 -34.69 6211.9
1 20.18 30 57.47 6219.98
2 62.06 30 15.56 6220.1
3 23.56 30 33.64 6220.18
1 20.18 30 52.9 6228.05
2 62.06 30 71.47 6228.13
3 38.52 30 33.27 6231.94
1 20.18 30 -116.23 6240.4
2 62.06 30 -66.79 6240.46
3 28.53 30 -36.59 6240.51
1 20.18 30 -29.86 6248.62
2 62.06 30 -101.81 6248.73
3 18.76 30 8.34 6252.46
1 20.18 30 99.19 6256.71
2 62.06 30 54.89 6260.87
3 30.47 30 57.52 6260.98
1 20.18 30 -7.39 6269.22
2 62.06 30 30.45 6269.35
3 35.86 30 4.07 6269.42
1 20.18 30 -28.4 6277.12
2 62.06 30 -59.27 6281.15
3 20.17 30 -22.86 6281.21
1 20.18 30 96.55 6289.69
2 62.06 30 31.63 6289.81
3 25.32 30 50.61 6289.88
1 20.18 30 -38.51 6297.67
2 62.06 30 56.35 6297.72
3 38.09 30 25.2 6301.71
1 19.25 30 -69.22 6310.12
2 62.06 30 -50.59 6310.24
3 26.15 30 -33.76 6310.32
1 19.25 30 77.95 6318.15
2 62.06 30 16.57 6318.26
3 25.46 30 20.93 6322.04
1 19.25 30 4.53 6330.49
2 62.06 30 42.31 6330.55
3 27.78 30 24.59 6330.6
1 19.25 30 -56.42 6338.85
2 62.06 30 -2.66 6338.97
3 27.01 30 13.12 6339.04
1 19.25 30 73.53 6346.75
2 62.06 30 31.93 6350.83
3 27.93 30 17.06 6350.89
1 19.25 30 26.59 6359.3
2 62.06 30 43.91 6359.4
3 27.17 30 12.55 6359.46
1 19.25 30 -59.54 6367.24
2 62.06 30 -27.52 6371.14
3 21.94 30 16.5 6371.2
1 19.25 30 51.96 6375.42
2 62.06 30 14.35 6379.66
3 27.93 30 42.88 6379.72
1 51.58 30 44.07 6387.92
2 62.06 30 67.66 6388.04
3 37.67 30 13.13 6391.73
1 51.58 30 -79.49 6400.15
2 62.06 30 -19.89 6400.27
3 21.32 30 -30.67 6400.39
1 51.58 30 25.56 6408.51
2 62.06 30 -8.84 6408.62
3 20.51 30 46.04 6412.2
1 51.58 30 72.74 6416.31
2 62.06 30 84.41 6420.58
3 43.24 30 50.52 6420.63
1 51.58 30 -74.74 6428.91
2 62.06 30 -10.64 6429.03
3 32.36 30 -58.23 6432.72
1 51.58 30 -13.69 6437.06
2 62.06 30 -38.08 6441.07
3 19.51 30 -3.82 6441.16
1 51.58 30 101.68 6449.4
2 62.06 30 72.21 6449.51
3 30.14 30 55.46 6449.58
1 51.58 30 -45.84 6457.35
2 62.06 30 17.63 6461.37
3 33.61 30 5.75 6461.41
1 51.58 30 -50.01 6469.7
2 62.06 30 -63.41 6469.77
3 20.87 30 -9.9 6469.81
1 51.58 30 88.45 6477.96
2 62.06 30 37.37 6478.11
3 26.15 30 48.83 6481.91
1 51.58 30 -9.19 6490.29
2 62.06 30 54.04 6490.37
3 37.29 30 22.71 6490.45
1 51.58 30 -49.88 6498.63
2 62.06 30 -50.79 6498.75
3 27.93 30 -28.07 6502.24
1 51.58 30 79.56 6506.4
2 62.06 30 5.26 6510.66
3 26.15 30 13.71 6510.73
1 51.58 30 21.45 6519.06
2 62.06 30 47.11 6519.16
3 28.53 30 22.75 6522.66
1 51.58 30 -73.31 6526.99
2 62.06 30 14.2 6527.04
3 26.3 30 10.94 6531.03
1 51.58 30 35.64 6539.36
2 62.06 30 -13.43 6539.46
3 25.46 30 22.22 6539.58
1 51.58 30 67.1 6547.41
2 62.06 30 62.34 6551.42
3 32.69 30 26.61 6551.46
1 51.58 30 -65.91 6555.56
2 62.06 30 10 6559.67
3 25.57 30 -4.51 6559.73
1 51.58 30 3.42 6568.03
2 62.06 30 -27.04 6568.07
3 19.94 30 26.08 6571.79
1 51.58 30 62.49 6580.2
2 62.06 30 61.68 6580.25
3 37.08 30 54.6 6580.3
1 51.58 30 20.22 6588.56
2 62.06 30 32.82 6588.64
3 37.08 30 -26.05 6592.3
1 51.58 30 -45.03 6596.56
2 62.06 30 -64.66 6600.78
3 19.51 30 -26.05 6600.84
1 51.58 30 63.58 6609.05
2 62.06 30 29.5 6609.16
3 31.3 30 56.82 6612.84
1 51.58 30 26.69 6617.16
2 62.06 30 70.84 6617.25
3 40.92 30 3.09 6621.24
1 51.58 30 -86.39 6629.58
2 62.06 30 -48.37 6629.67
3 22.16 30 -45.32 6629.75
1 51.58 30 37.57 6637.57
2 62.06 30 -0.88 6641.58
3 25.03 30 43.49 6641.62
1 51.58 30 75.13 6645.83
2 62.06 30 91.1 6650
3 41.57 30 29.43 6650.07
1 38 30 -108.72 6658.07
2 62.06 30 -15.12 6662.12
3 27.62 30 -48.43 6662.23
1 38 30 -12.37 6670.54
2 62.06 30 -20.14 6670.6
3 24.89 30 16.31 6670.66
1 38 30 100.91 6678.84
2 62.06 30 80.7 6678.93
3 34.14 30 30.13 6682.43
1 43.81 30 100.91 6686.66
2 46.89 30 80.7 6690.79
3 26.86 30 -11.09 6690.85
1 43.81 30 -41.44 6699.18
2 21.82 30 80.7 6699.25
3 21.2 30 20.3 6699.29
1 43.81 30 92.15 6707.19
2 21.82 30 56.02 6707.26
3 34.33 30 48.88 6711.16
1 43.81 30 -40.09 6719.69
2 21.82 30 25.59 6719.81
3 31.3 30 -11.66 6719.88
1 43.81 30 -45.49 6727.65
2 21.82 30 -47.15 6731.69
3 17.82 30 3.51 6731.74
1 43.81 30 92.66 6735.68
2 21.82 30 45.21 6739.95
3 26.15 30 66.15 6740
1 43.81 30 -32.46 6748.33
2 21.82 30 48.71 6748.42
3 40.02 30 24.89 6752.08
1 43.81 30 -68 6756.39
2 21.82 30 -65.68 6760.61
3 27.93 30 -39.58 6760.72
1 35.81 30 79.85 6768.88
2 21.82 30 10.01 6769
3 23.43 30 15.82 6769.06
1 35.81 30 -1.26 6776.87
2 21.82 30 61.53 6780.9
3 29.18 30 38.56 6780.97
1 17.6 30 -35.94 6789.21
2 21.82 30 -8.14 6789.27
3 29.34 30 9.96 6789.32
1 17.6 30 84.83 6797.38
2 21.82 30 21.01 6797.49
3 26.59 30 9.16 6801.31
1 17.6 30 -25.37 6809.83
2 21.82 30 48.36 6809.95
3 24.89 30 22.97 6813.81
1 17.6 30 -39.43 6821.9
2 21.82 30 -8.95 6821.94
3 26.59 30 34.74 6821.97
1 17.6 30 -39.43 6826.1
2 21.82 30 4.42 6830.07
3 31.65 30 34.74 6830.14
1 17.6 30 -39.43 6838.46
2 13.11 30 4.42 6838.54
3 34.33 30 34.74 6842.27
1 17.6 30 110.41 6850.74
2 13.11 30 4.42 6850.83
3 33.43 30 -7.44 6854.72
1 59.42 30 14.08 6859.11
2 13.11 30 112.97 6859.22
3 28.37 30 -2.91 6862.67
1 59.42 30 -145.13 6866.79
2 13.11 30 -92.75 6871.13
3 21.57 30 17.35 6871.17
1 59.42 30 8.56 6879.31
2 13.11 30 -102.08 6879.4
3 24.23 30 51.61 6879.56
1 59.42 30 70.22 6887.59
2 13.11 30 61.75 6891.55
3 43.49 30 38.63 6891.62
1 59.42 30 -40.71 6899.92
2 13.11 30 29.59 6900.04
3 33.99 30 -52.86 6900.11
1 59.42 30 -19.17 6907.93
2 13.11 30 -51.98 6911.95
3 18.22 30 -5.37 6912
1 59.42 30 79.67 6920.23
2 13.11 30 50.83 6920.3
3 29.97 30 68.47 6920.35
1 59.42 30 2.91 6928.69
2 49 30 45.35 6928.86
3 42.52 30 12.37 6932.41
1 59.42 30 -84.18 6936.71
2 49 30 -62.74 6940.71
3 26.01 30 -48.03 6940.79
1 22.3 30 58.46 6949.13
2 49 30 21.29 6949.25
3 25.72 30 29.54 6952.77
1 22.3 30 36.51 6956.92
2 49 30 73.1 6961.2
3 35.5 30 31.17 6961.27
1 22.3 30 -102.03 6969.58
2 49 30 -53.54 6969.69
3 26.74 30 -12.79 6969.77
1 22.3 30 12.51 6977.63
2 49 30 -18.84 6977.74
3 22.16 30 26 6981.55
1 22.3 30 50.08 6989.82
2 49 30 87.15 6989.88
3 37.67 30 49.15 6989.92
1 22.3 30 -55.91 6997.99
2 49 30 -8.06 7001.94
3 31.65 30 -23.36 7002.02
1 22.3 30 -1.56 7006.12
2 18.42 30 -19.87 7010.3
3 22.8 30 6.72 7010.34
1 22.3 30 87.27 7018.76
2 18.42 30 85.23 7018.83
3 31.65 30 46.12 7022.4
1 47.34 30 14.9 7026.63
2 18.42 30 24.27 7030.72
3 35.5 30 7 7030.76
1 47.34 30 -83.61 7039
2 18.42 30 -84.51 7039.06
3 21.94 30 -12.41 7042.85
1 47.34 30 30.57 7047.11
2 18.42 30 20.11 7047.18
3 25.17 30 50.4 7051.26
1 47.34 30 36.26 7059.51
2 35.7 30 20.11 7059.62
3 41.15 30 34.53 7059.69
1 47.34 30 -38.66 7067.85
2 35.7 30 3.54 7067.97
3 30.3 30 -40.54 7071.81
1 47.34 30 16.28 7080.12
2 35.7 30 -22.83 7080.23
3 21.2 30 12.74 7080.3
1 47.34 30 65.93 7088.19
2 31.66 30 -22.83 7088.26
3 35.11 30 54.43 7092
1 47.34 30 -38.14 7096.25
2 31.66 30 23.58 7100.6
3 33.24 30 -10 7100.7
1 47.34 30 -28.2 7108.76
2 31.66 30 -77.67 7108.88
3 18.76 30 -0.67 7112.54
1 47.34 30 80.22 7116.87
2 31.66 30 46.97 7120.87
3 30.47 30 66.75 7120.97
1 47.34 30 -9.58 7129.15
2 31.66 30 47.73 7129.23
3 43.49 30 13.3 7129.28
1 47.34 30 -62.12 7137.3
2 31.66 30 -54.58 7137.34
3 25.86 30 -51.97 7141.4
1 47.34 30 65.89 7145.59
2 31.66 30 29.42 7149.73
3 26.45 30 31.18 7149.82
1 47.34 30 2.08 7157.81
2 31.66 30 75.04 7157.88
3 34.33 30 28.42 7161.72
1 47.34 30 -82.54 7165.95
2 31.66 30 -29.84 7169.97
3 26.74 30 -6.04 7170.05
1 47.34 30 54.06 7178.26
2 31.66 30 15.12 7178.31
3 24.34 30 26.91 7182.14
1 47.34 30 51.18 7186.52
2 31.66 30 72.18 7190.52
3 35.3 30 39.13 7190.59
1 47.34 30 -109.75 7198.9
2 31.66 30 -17.58 7199.03
3 26.59 30 -10.69 7202.89
1 13.65 30 1.51 7206.93
2 31.66 30 -8.05 7206.99
3 23.29 30 27.86 7210.87
1 13.65 30 81.48 7219.23
2 31.66 30 93.92 7219.3
3 39.79 30 44.59 7219.33
1 13.65 30 -41.85 7227.4
2 31.66 30 2.19 7227.44
3 31.65 30 -32.97 7231.43
1 13.65 30 -38.3 7235.68
2 31.66 30 -68.13 7239.67
3 18.87 30 7.73 7239.74
1 13.65 30 82.5 7247.98
2 31.66 30 76.87 7248.08
3 37.08 30 66.89 7251.99
1 13.65 30 -2 7260.31
2 31.66 30 58.63 7260.41
3 38.3 30 -19.09 7260.48
1 16.57 30 -62.41 7268.39
2 31.66 30 -113.95 7268.44
